priority,opportunity_type,title,query_keyword,published,region,amount,source_name,source_url,summary,sales_angle,next_action
High,Direct,site:hyggzyjy.hengyang.gov.cn 文明吸烟环境 招标 - Yahoo Search Results,site:hyggzyjy.hengyang.gov.cn 文明吸烟环境 招标,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Ahyggzyjy.hengyang.gov.cn+%E6%96%87%E6%98%8E%E5%90%B8%E7%83%9F%E7%8E%AF%E5%A2%83+%E6%8B%9B%E6%A0%87,该项目与烟草系统采购直接相关，命中检索词“site:hyggzyjy.hengyang.gov.cn 文明吸烟环境 招标”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
High,Direct,site:gov.cn 文明吸烟环境 招标 - Yahoo Search Results,site:gov.cn 文明吸烟环境 招标,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Agov.cn+%E6%96%87%E6%98%8E%E5%90%B8%E7%83%9F%E7%8E%AF%E5%A2%83+%E6%8B%9B%E6%A0%87,该项目与烟草系统采购直接相关，命中检索词“site:gov.cn 文明吸烟环境 招标”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
High,Direct,site:cebpubservice.com 文明吸烟环境 招标 - Yahoo Search Results,site:cebpubservice.com 文明吸烟环境 招标,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Acebpubservice.com+%E6%96%87%E6%98%8E%E5%90%B8%E7%83%9F%E7%8E%AF%E5%A2%83+%E6%8B%9B%E6%A0%87,该项目与烟草系统采购直接相关，命中检索词“site:cebpubservice.com 文明吸烟环境 招标”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
High,Direct,Search again for site:ggzy.gov.cn 文明吸烟环境 招标,site:ggzy.gov.cn 文明吸烟环境 招标,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Aggzy.gov.cn+%E6%96%87%E6%98%8E%E5%90%B8%E7%83%9F%E7%8E%AF%E5%A2%83+%E6%8B%9B%E6%A0%87,该项目与烟草系统采购直接相关，命中检索词“site:ggzy.gov.cn 文明吸烟环境 招标”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
Medium,Direct,site:tobacco.gov.cn 烟草公司 招标公告 - Yahoo Search Results,site:tobacco.gov.cn 烟草公司 招标公告,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Atobacco.gov.cn+%E7%83%9F%E8%8D%89%E5%85%AC%E5%8F%B8+%E6%8B%9B%E6%A0%87%E5%85%AC%E5%91%8A,该项目与烟草系统采购直接相关，命中检索词“site:tobacco.gov.cn 烟草公司 招标公告”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
Medium,Direct,site:tobacco.gov.cn 中国烟草 招标公告 - Yahoo Search Results,site:tobacco.gov.cn 中国烟草 招标公告,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Atobacco.gov.cn+%E4%B8%AD%E5%9B%BD%E7%83%9F%E8%8D%89+%E6%8B%9B%E6%A0%87%E5%85%AC%E5%91%8A,该项目与烟草系统采购直接相关，命中检索词“site:tobacco.gov.cn 中国烟草 招标公告”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
Medium,Direct,site:hyggzyjy.hengyang.gov.cn 吸烟亭 招标 - Yahoo Search Results,site:hyggzyjy.hengyang.gov.cn 吸烟亭 招标,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Ahyggzyjy.hengyang.gov.cn+%E5%90%B8%E7%83%9F%E4%BA%AD+%E6%8B%9B%E6%A0%87,该项目与烟草系统采购直接相关，命中检索词“site:hyggzyjy.hengyang.gov.cn 吸烟亭 招标”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
Medium,Direct,site:gov.cn 烟草机械 招标公告 - Yahoo Search Results,site:gov.cn 烟草机械 招标公告,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Agov.cn+%E7%83%9F%E8%8D%89%E6%9C%BA%E6%A2%B0+%E6%8B%9B%E6%A0%87%E5%85%AC%E5%91%8A,该项目与烟草系统采购直接相关，命中检索词“site:gov.cn 烟草机械 招标公告”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
Medium,Direct,site:gov.cn 烟草公司 招标公告 - Yahoo Search Results,site:gov.cn 烟草公司 招标公告,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Agov.cn+%E7%83%9F%E8%8D%89%E5%85%AC%E5%8F%B8+%E6%8B%9B%E6%A0%87%E5%85%AC%E5%91%8A,该项目与烟草系统采购直接相关，命中检索词“site:gov.cn 烟草公司 招标公告”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
Medium,Direct,site:ggzy.gov.cn 烟草公司 招标公告 - Yahoo Search Results,site:ggzy.gov.cn 烟草公司 招标公告,,,,Yahoo Search Fallback,https://search.yahoo.com/search?nojs=1&p=site%3Aggzy.gov.cn+%E7%83%9F%E8%8D%89%E5%85%AC%E5%8F%B8+%E6%8B%9B%E6%A0%87%E5%85%AC%E5%91%8A,该项目与烟草系统采购直接相关，命中检索词“site:ggzy.gov.cn 烟草公司 招标公告”。建议优先核对采购范围、报名截止时间、标书获取方式和投标资格要求。,建议当天联系采购代理与业主单位，优先判断是否属于烟草系统年度集采或专项建设采购。,先打开原公告，确认采购单位、项目范围、报名/投标截止时间，以及标书购买或下载路径。
